Bill of materials of Thrust Test Stand,,,,
Item Name,Cost Per Item ,No of Items,Cost of Item,Link
aluminium profile channel,413 rupees per meter,3.6m,"1,486.80",Buy Aluminum Extrusion Profile for your DIY 3D printer
Load Cell Sensor-CZL-E,109,1,190,Phaeton Load Cell Sensor-CZL-E Weighing Pressed down
 Load Cell Amplifier – HX711,116,1,116,SmartElex Load Cell Amplifier - HX711
Tnut,11.98,50,599,Hammer TNut G6 M4 for Aluminum Slotted Profile - Pack of 50 Nos - Durable for long time use - Blue Zinc Plated Carbon Steel - 2020 Series
angle bracket,8.27,48,396.96,"Volo L Angle Bracket for Reinforcing Chairs/Tables - 40mmx20mm Zinc Plated L Shape for Solid Shelf Support, Joint Right Corner Brace (1.5"" x 0.75"")"
,,,,
,,,,
,,,,

TOTAL,,,"2,271",
